Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,790
Bicol Region,15664
Cagayan Valley,2263
Calabarzon,17871
Caraga,1793
Central Luzon,8435
Central Visayas,6726
Cordillera Administrative Region,1263
Davao Region,3076
Eastern Visayas,3315
Ilocos Region,2761
Metro Manila,32496
Mimaropa,2302
Northern Mindanao,3451
Soccsksargen,2411
Unknown,≤100
Western Visayas,5157
Zamboanga Peninsula,2740
