Location name,Amount spent (BRL)
Acre (state),445
Alagoas,2448
Amapá,750
Amazonas,4109
Bahia,9317
Ceará,8146
Espírito Santo,2637
Federal District,3128
Goiás,5410
Maranhão,4891
Mato Grosso,5939
Mato Grosso do Sul,3231
Minas Gerais,35026
Paraná,8046
Paraíba,4384
Pará,4309
Pernambuco,8669
Piauí,2357
Rio Grande do Norte,3131
Rio Grande do Sul,9160
Rio de Janeiro (state),16998
Rondônia,1673
Roraima,990
Santa Catarina,7913
Sergipe,2045
São Paulo (state),50373
Tocantins,2027
Unknown,≤100
