Location name,Amount spent (PKR)
Azad Kashmir,1173
Balochistan,1464
Federally Administered Tribal Areas,329
Gilgit-Baltistan,582
Islamabad Capital Territory,2186
Khyber Pakhtunkhwa,8170
Punjab,41766
Sindh,14008
Unknown,≤100
