Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
102931488739,Platforma Obywatelska,Platforma Obywatelska,5835,67
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,2569,20
100947022065093,Okresowa Koalicja,Okresowa Koalicja,2470,9
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,1898,43
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,1728,37
228168274881,wysokieobcasy,wysokieobcasy,1635,23
487587700423,Miasto Gdańsk,Miasto Gdańsk,1500,12
339855706171439,Dobra Fabryka,Dobra Fabryka,1468,6
57544755889,Amnesty International Polska,Amnesty International Polska,1410,26
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,1319,9
105745031598028,Campus Polska Przyszłości,Fundacja Campus Polska Przyszłości,961,12
107750507339408,Bart Staszewski,Fundacja Basta,915,2
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,811,157
178362315106,European Parliament,European Parliament,743,3
391098174296294,Super Express,se.pl,680,14
520444618035778,Grupa EPL w Parlamencie Europejskim,EPP Group in the European Parliament,609,5
1227194230675141,Pratia,Pratia SA,564,16
112023696910232,ważne sprawy,Fundacja Ważne Sprawy,557,215
104623181081757,Budżet Obywatelski Mazowsza,Urząd Marszałkowski Województwa Mazowieckiego,554,40
103423656514231,Fundacja Gdańska,Fundacja Gdańska,554,9
178415208919146,Suwerenna Polska,Solidarna Polska,520,10
376660699164364,Rafał Komarewicz - Przewodniczący Rady Miasta Krakowa,Rafał Komarewicz,514,4
1436380093288077,Park Dzieje,Stowarzyszenie Dzieje,497,10
104884392877324,Alivia,Alivia - Fundacja Onkologiczna,465,6
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,384,2
230415296997772,bydgoszcz.pl,bydgoszcz.pl,372,2
108301418501661,Odszkodowania Za Represje 1944-1989,Odszkodowania Za Represje 1944-1989,353,3
102577288350341,Super Biznes,se.pl,340,7
182038191908977,Ministerstwo Cyfryzacji,Kancelaria Prezesa Rady Ministrów,337,7
561843337248654,Michał Drewnicki - wiceprzewodniczący Rady Miasta Krakowa,Michał Drewnicki - wiceprzewodniczący Rady Miasta Krakowa,328,5
490207317852864,Obserwatorium Polityki Miejskiej IRMiR,Instytut Rozwoju Miast i Regionów,328,3
113143203693,Santander Bank Polska,Santander Bank Polska,325,5
653937168081792,PZU,Powszechny Zakład Ubezpieczeń Spółka Akcyjna (PZU SA),310,5
557305027641691,Prof. Ryszard Legutko,European Parliament ECR Group,305,1
475584852475176,Pozytron,POZYTRON Radiologia Medyczna,300,6
513969188677442,Compassion Polska,Compassion Polska,294,10
1659680027600979,Bydgoski Budżet Obywatelski,bydgoszcz.pl,270,6
105636040979969,Polska 2050,Polska 2050 Szymona Hołowni,266,10
1381575975475340,EduAkcja - szkolenia dla nauczycieli,EduAkcja sp. z o.o.,258,3
292514454554454,Cartrack Polska,Cartrack Polska,254,6
195947557131612,Fundacja Avalon,Fundacja Avalon,246,7
256314858405394,Paweł Olszewski,Paweł Olszewski,245,7
312816688890250,Dariusz Matecki,Dariusz Matecki Radny Miasta Szczecin,244,4
130220166122,Kupuj odpowiedzialnie,Kupuj odpowiedzialnie,237,6
163488137165461,E.ON Polska,E.ON Polska,225,13
1683534065241470,OKO.press,OKO.press,225,15
424950454257785,Kampania Prawdy,Kampania Prawdy,216,2
385532321805330,Pomorskie,Pomorskie,216,2
173086948664,Infor.pl,Infor.pl,213,6
940058816041174,Federacja Przedsiębiorców Polskich,Federacja Przedsiębiorców Polskich,212,5
205945942802470,Polska Agencja Rozwoju Przedsiębiorczości,Polska Agencja Rozwoju Przedsiębiorczości,212,4
110554885250920,Postawmy na młodzież,Stowarzyszenie Projekt Poznań,203,21
934704640017108,PKN ORLEN,PKN ORLEN S.A.,200,2
355335447987852,"Katarzyna Stachowicz - samorządowiec, działaczka społeczna","Katarzyna Stachowicz - samorządowiec, działaczka społeczna",198,2
134214926657042,Radosław Sikorski,Radosław Sikorski,194,2
959387840744974,Bezpartyjni Samorządowcy,Ogólnopolska Federacja Bezpartyjni i Samorządowcy,191,27
102440065924109,Radny SZOPA,Radny SZOPA,180,3
151650414730,Med Polonia,Med Polonia Sp. z o. o.,178,19
521216701360487,MURATOR,MURATOR,176,5
207653439276138,Fundusze Europejskie dla Dolnego Śląska,Fundusze Europejskie dla Dolnego Śląska,172,5
308784726230232,Polskie Stowarzyszenie Zero Waste,Polskie Stowarzyszenie Zero Waste,170,3
447190942074880,Polskie Stowarzyszenie Obrońców Życia Człowieka,Polskie Stowarzyszenie Obrońców Życia Człowieka,163,3
276860619087002,Sylwester Tułajew,Sylwester Tułajew,159,3
198196133533089,Polska Misja Medyczna / Polish Medical Mission,Polska Misja Medyczna / Polish Medical Mission,158,11
340765409708087,Ryszard Madziar,Ryszard Madziar,153,9
101433527872341,Krzysztof Sobolewski,Biuro Poselskie Posła na Sejm RP Krzysztofa Sobolewskiego,152,13
297486841148102,Ius Memoriae - Prawo Pamięci,Ius Memoriae,151,10
1495480087399256,Jacek Ozdoba,Jacek Ozdoba,144,4
1629946500626448,To Tylko Astma,OS3 Sp. z o.o.,141,4
514735281965536,Demagog,Stowarzyszenie Demagog,140,5
406758116099067,Fundacja Kasisi,Fundacja Kasisi,139,1
402330900557208,Anita Kucharska-Dziedzic - posłanka na Sejm RP,Anitę Kucharską-Dziedzic,137,1
100569026183717,W Obronie Zdrowia,W Obronie Zdrowia,134,7
252707301407911,Ministerstwo Rolnictwa i Rozwoju Wsi,Ministerstwo Rolnictwa i Rozwoju Wsi,132,1
125185964281959,Centrum Edukacji Obywatelskiej (CEO),Centrum Edukacji Obywatelskiej (CEO),129,6
108586015068938,Zorientowani na Rodzinę,Fundacja Ogólnopolski Strajk Kobiet,128,5
113267398356583,Komitet Inicjatywy Ustawodawczej „STOP zakazowi pracy”,Polskie Stowarzyszenie Obrońców Życia Człowieka,127,2
314299585704,PAT&RUB,Ecoidea Sp z oo Sp.k.,127,1
1425264934431305,Polski Instytut Księgowości,Polski Instytut Księgowości,122,13
109218848183780,Marek Woźniak,UMWW,121,8
145382618855042,Muzeum Sztuki w Łodzi,Muzeum Sztuki w Łodzi,120,1
131886210173156,Almette. Przyjemność z natury.,These ads ran without a disclaimer,112,2
180185019111,Tygodnik Powszechny,Tygodnik Powszechny,112,3
257593184447834,Władysław Kosiniak-Kamysz,Władysław Kosiniak-Kamysz,110,2
100302862419697,"Wielkopolska, tej",UMWW,109,6
174123027189,Instytut Spraw Publicznych,Fundacja Instytut Spraw Publicznych,107,2
489216781491967,Fundacja Odpowiedzialna Polityka,Fundacja Odpowiedzialna Polityka,107,1
115388195287526,Art Rage,Art Rage,106,1
105241158314515,Kongres Regeneracja Miast,Fundacja Gospodarki i Administracji Publicznej,105,24
101751661613203,Adam Lutkowski,Adam Lutkowski,104,2
589330734560457,Łódzkie Dziewuchy Dziewuchom,Łódzkie Dziewuchy Dziewuchom,104,1
107501515349034,Responsiblee,Responsiblee,104,1
107280785612581,Krakowskie Centrum Edukacji Klimatycznej,Krakowskie Centrum Edukacji Klimatycznej,102,3
181020632309,Wydawnictwo Znak,Wydawnictwo Znak,101,3
618179678235315,wschód,wschód,101,1
100530692579091,Forum Bezpieczeństwa,Forum Bezpieczeństwa,101,7
2320275388297228,Marcin Romanowski,Marcin Romanowski,101,1
1476105062719575,Dariusz Matecki - Suwerenna Polska,Dariusz Matecki - Suwerenna Polska,≤100,1
1581518611867021,Zbigniew Ziobro,Zbigniew Ziobro,≤100,1
2025169264443553,Klub Radnych PiS - Szczecin,Klub Radnych PiS - Szczecin,≤100,1
