Page ID,Page name,Disclaimer,Amount spent (TWD),Number of ads in Library
224451981016415,Mercedes-Benz Taiwan 台灣賓士,Mercedes-Benz Taiwan 台灣賓士,80558,31
238507146264909,國際特赦組織 台灣分會 Amnesty International Taiwan,國際特赦組織 台灣分會 Amnesty International Taiwan,26852,164
105556085524776,Twpca-台灣野良犬照護協會,Twpca-台灣野良犬照護協會,19297,7
148475335184300,Greenpeace 綠色和平 (台灣網站),Greenpeace 綠色和平 (台灣網站),15468,57
467933563234921,南門書局-網路圖書名店、也有實體店面，誠信可靠！,玉河 孫,13383,21
693907914395620,良杯製所 Oolab,良杯製所 Oolab,12719,10
101046209392101,新事貸-新鑫特優經銷商,新事貸-新鑫特優經銷商,8656,1
106801464127093,目目非營利 MUVE NPO,目目非營利,8119,16
241284961029,udn.com 聯合新聞網,udn.com 聯合新聞網,6951,5
177161918975981,基督教芥菜種會,基督教芥菜種會,4700,23
201785650801,亞洲大學(Asia University Taiwan),亞洲大學,3854,15
211730475524462,大陸委員會,大陸委員會,3615,7
246517878713911,劉家昌,勇勳沈,3119,2
109462390640602,企業勞動法務管理顧問-勞動契約、勞資爭議、勞務健檢、教育訓練、法律事務、法律風險控管,芸廷 林,2405,37
174567875906128,Epson,台灣愛普生科技股份有限公司,2197,3
347432368933987,LINE TODAY Taiwan,LINE TODAY Taiwan,1928,2
171759036215066,創世紀不動產教育訓練中心,Micky  Wu,1868,17
436843193180529,Unipapa,Unipapa,1810,14
100714476220256,永續金融先行者聯盟,永續金融先行者聯盟,1806,26
1649523455281990,遠山呼喚,遠山呼喚,1802,3
1573873889493647,賴士葆,賴士葆,1711,1
1537741526464370,桃園市議長邱奕勝,奕勝 邱,1657,4
1436850183290438,One-Forty,One-Forty,1626,2
132727540081371,立法委員賴惠員,立法委員賴惠員,1578,3
1487218698275407,南門書局二店-網路特價書店-也有實體店面，價格親民，誠信可靠的老店。（師友文化）,玉河 孫,1484,3
101643786051216,楊昌德 新竹縣議員,Maggie Chen,1468,1
199893756728360,Alibaba.com 阿里巴巴,These ads ran without a disclaimer,1406,1
101355918337667,地天泰國際顧問有限公司,地天泰國際顧問有限公司,1374,4
127628276929,天下雜誌,天下雜誌,1370,10
569626243213799,生鮮時書,生鮮時書,1274,1
189061482332,張嘉郡,嘉郡張,1219,4
1659728604312270,台泥企業團,台泥,1212,2
122825514432837,黃健豪-北屯漸好,健豪 黃,1186,1
335544036485779,經濟部,經濟部,1164,2
218662974825481,王惠美,王惠美,1134,2
104624290080479,張育美,翊斌黃,1102,4
390569611008641,願景工程基金會 Vision Project,願景工程基金會,1085,27
699398610097783,劉仁照 Liu Jen-Chao,劉仁照,1066,1
164216566973089,Taiwan Raelian Movement 台灣雷爾運動,彭韋銘,1010,2
628210660663641,自由時報地產天下,自由時報地產天下,977,2
219315794887869,聯合報,聯合報股份有限公司,922,8
572641856277844,義竹鄉公所,義竹鄉公所,866,1
151776788178402,TechOrange 科技報橘,流線傳媒股份有限公司,859,12
195094157238158,好立委 楊瓊瓔,宛儀林,854,5
