Location name,Amount spent (RON)
Alba County,678
Arad County,963
Argeș County,1248
Bacău County,1090
Bihor County,1071
Bistrița-Năsăud County,597
Botoșani County,564
Brașov County,1825
Brăila County,584
Bucharest,6304
Buzău County,830
Caraș-Severin County,552
Cluj County,2378
Constanța County,1550
Covasna County,349
Călărași County,362
Dolj County,1202
Dâmbovița County,745
Galați County,1122
Giurgiu County,311
Gorj County,612
Harghita County,511
Hunedoara County,974
Ialomița County,577
Iași County,2884
Ilfov County,1038
Maramureș County,1017
Mehedinți County,512
Mureș County,1044
Neamț County,973
Olt County,475
Prahova County,1849
Satu Mare County,625
Sibiu County,923
Suceava County,999
Sălaj County,387
Teleorman County,430
Timiș County,1589
Tulcea County,306
Unknown,≤100
Vaslui County,492
Vrancea County,577
Vâlcea County,545
