Location name,Amount spent (CAD)
Alberta,15505
British Columbia,10781
Manitoba,3437
New Brunswick,1376
Newfoundland and Labrador,759
Northwest Territories,131
Nova Scotia,1599
Nunavut,177
Ontario,25504
Prince Edward Island,287
Quebec,12096
Saskatchewan,1748
Unknown,≤100
Yukon,206
