Location name,Amount spent (JPY)
Aichi Prefecture,11282
Akita Prefecture,936
Aomori Prefecture,1898
Chiba Prefecture,8658
Ehime Prefecture,2088
Fukui Prefecture,1919
Fukuoka Prefecture,35748
Fukushima Prefecture,2317
Gifu Prefecture,3071
Gunma Prefecture,2239
Hiroshima Prefecture,3896
Hokkaido,6411
Hyōgo Prefecture,8328
Ibaraki Prefecture,3965
Ishikawa Prefecture,2597
Iwate Prefecture,1296
Kagawa Prefecture,1706
Kagoshima Prefecture,2043
Kanagawa Prefecture,17213
Kumamoto Prefecture,6831
Kyoto Prefecture,5342
Kōchi Prefecture,776
Mie Prefecture,2234
Miyagi Prefecture,7716
Miyazaki Prefecture,1696
Nagano Prefecture,2596
Nagasaki Prefecture,3825
Nara Prefecture,2038
Niigata Prefecture,2193
Okayama Prefecture,2402
Okinawa Prefecture,4577
Osaka Prefecture,14621
Saga Prefecture,3184
Saitama Prefecture,19883
Shiga Prefecture,2005
Shimane Prefecture,870
Shizuoka Prefecture,4498
Tochigi Prefecture,2679
Tokushima Prefecture,5313
Tokyo,37776
Tottori Prefecture,514
Toyama Prefecture,1219
Unknown,≤100
Wakayama Prefecture,1070
Yamagata Prefecture,1429
Yamaguchi Prefecture,1523
Yamanashi Prefecture,1405
Ōita Prefecture,3958
