Location name,Amount spent (INR)
Andaman and Nicobar Islands,248
Andhra Pradesh,44663
Arunachal Pradesh,1704
Assam,31344
Bihar,159466
Chandigarh,2056
Chhattisgarh,25032
Dadra and Nagar Haveli,1270
Delhi,47028
Goa,2149
Gujarat,86191
Haryana,49485
Himachal Pradesh,18013
Jammu and Kashmir,13182
Jharkhand,28180
Karnataka,89243
Kerala,26540
Lakshadweep,≤100
Madhya Pradesh,87780
Maharashtra,168598
Manipur,3150
Meghalaya,43957
Mizoram,1249
Nagaland,1519
Odisha,17378
Puducherry,1720
Punjab region,44662
Rajasthan,286122
Sikkim,1184
Tamil Nadu,65205
Telangana,36319
Tripura,8990
Unknown,≤100
Uttar Pradesh,150090
Uttarakhand,15938
West Bengal,66899
