Location name,Amount spent (MXN)
Aguascalientes,12783
Baja California,44969
Baja California Sur,21125
Campeche,25017
Chiapas,61812
Chihuahua,33198
Coahuila de Zaragoza,22864
Colima,8869
Distrito Federal,158799
Durango,13239
Guanajuato,42672
Guerrero,18727
Hidalgo,16344
Jalisco,99864
Michoacán de Ocampo,40994
Morelos,49104
Nayarit,8499
Nuevo León,257655
Oaxaca,20738
Puebla,80365
Querétaro Arteaga,37647
Quintana Roo,57086
San Luis Potosi,20535
Sinaloa,18834
Sonora,43482
State of Mexico,85844
Tabasco,18426
Tamaulipas,34194
Tlaxcala,8127
Unknown,≤100
Veracruz,45709
Yucatán,83921
Zacatecas,16889
