Location name,Amount spent (NZD)
Auckland Region,2928
Bay of Plenty Region,555
Canterbury,1142
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,464
Manawatu-Wanganui,438
Marlborough Region,≤100
Nelson Province,117
Niue,≤100
Northland Region,299
Otago,422
Southland,197
Taranaki,218
Tasman District,≤100
Unknown,≤100
Waikato,900
Wellington Region,804
West Coast,≤100
