Page ID,Page name,Disclaimer,Amount spent (PEN),Number of ads in Library
119723768043679,Grupo Verona,Giovanni Domenico Verona Baluarte,1049,2
101665683225827,José Luna Gálvez - Pepe Luna,Laidy Diana Peceros Espinoza,976,1
109019574560600,Aula Gaceta,Joel V. Supo Baldo,389,4
264223880347121,Lampadia Oficial,LAMPADIA,274,64
1650216218535063,Oceana Perú,Oceana Perú,212,4
525873954428340,Lucho Flores,Luis Ernesto Flores Reategui,201,4
112755042067857,Instituto Peruano de Economía - IPE,Instituto Peruano de Economía - IPE,156,1
1490129174650573,OIM Perú,Organización Internacional para las Migraciones - OIM Misión en el Perú,102,3
687691121319854,Ernesto Álvarez Miranda,Ernesto Julio Alvarez Miranda,≤100,4
543884139120889,Juan Carlos Díaz al Congreso,Juan Carlos Diaz Sanchez,≤100,1
1897126257190528,Instituto Latinoamericano de Capacitaciones Jurídicas-ILCJ,ILCJ,≤100,20
128400214531888,PPP Partido Patriótico del Perú,Herbert Caller Gutierrez,≤100,2
658861660900353,Speakers Films,These ads ran without a disclaimer,≤100,1
127832144570884,Hernan Sifuentes,Diana Huancaya Matos,≤100,2
523337141056621,CONFIEP,CONFIEP,≤100,2
113857973395461,Luis Angel Aragón - Congresista de la República,Diego Alonzo Alvarez Guevara,≤100,3
142062936237878,Goberna,Goberna,≤100,18
100283442359203,Fernando Arce Alvarado - Parlamentario Andino,Javier Fernando Arce Alvarado,≤100,2
534284396949027,Ilich López,Renzo Jireh Casas Torres,≤100,5
236240533617906,Partido Devolucion,Partido Devolucion,≤100,1
180519815314343,Grupo Propuesta Ciudadana,Grupo Propuesta Ciudadana,≤100,3
1097610150311890,Grupo ISP,Grupo ISP,≤100,3
151732174885465,Pablo Pisconti Producciones E.I.R.L.,Paola Erika Pisconti Salazar,≤100,4
462790453744032,Sutep,Sindicato Unitario de Trabajadores en la Educación del Perú - SUTEP,≤100,6
1643625532431014,Karol Paredes,Karol Ivett Paredes Fonseca,≤100,3
316564475960113,Estudio Jurídico Tarazona & Asociados,Diego Alberto Isla Yengle,≤100,4
495706950531442,Pepe Feria,Pepe Feria,≤100,1
103192204884175,Américo Gonza - Congresista de la República,Martha Gonza Castillo,≤100,2
1805183599788143,Silvia Monteza,Héctor Melgar Sandoval,≤100,2
108612759471258,Colegio de Ingenieros del Peru CD Lambayeque,CIP CD LAMBAYEQUE,≤100,5
101115909470323,Congresista Paul Silvio Gutiérrez Ticona,William Tapia,≤100,3
103215021752312,Alejandro Soto Reyes- Congresista de la República,Phenelope Jhoana Contreras Cabezas,≤100,1
726639864121599,Perla Espinoza,Maria Perla Espinoza Aquino,≤100,1
512705112128669,Coopac San Martín de Porres,Cristhian Alexander Boza Flores,≤100,1
103343212628464,Ciencia Política y Gobierno EGDN,Luis Harold Raciel Levano Ochoa,≤100,2
103947069117596,liberellastudio,These ads ran without a disclaimer,≤100,1
100500902383840,Propuestas del Bicentenario,Videnza Fundación,≤100,1
103763702518356,Mecanismo de Gobernanza Territorial,Arnol Piedra Sosaya,≤100,2
101053675911037,Fabri & Asociados Consultoría Política y de Mercadeo,Whilber Eugenio Huallanca Conde,≤100,1
161024241267665,Julio César Silva Meneses - Abogado,Julio César Silva Meneses,≤100,2
107713401708974,Gregorio Espinoza,Jamil Alexis Rey Añi,≤100,1
455802295156178,Nuestramerica TV,Crhistian Jorge Peralta Ramírez,≤100,1
321371311530345,Josue Figueroa,Elias Josue Figueroa Torres,≤100,1
131347596900240,Servindi,Arnol Piedra Sosaya,≤100,1
234782503294093,ONAMIAP,Organización Nacional de Mujeres Indígenas Andinas y Amazónicas del Perú,≤100,1
111544567222627,Zósimo Cárdenas Muje - Gobernador Regional de Junín,Zósimo Cárdenas Muje - Gobernador Regional de Junín,≤100,1
105566838477273,Leonor Carolina Romero - Abogada,Julio César Silva Meneses,≤100,2
107507472129022,Pedro Guevara,Pedro Antonio Guevara Yovera,≤100,1
1254455981284350,Otto Guibovich,Otto Napoleon Guibovich Arteaga,≤100,1
496677207034388,Colegio de Ingenieros del Perú - Consejo Departamental La Libertad,Colegio de Ingenieros del Perú - Consejo Departamental La Libertad,≤100,1
472058086186358,Ari Rivera,ARI-TELCH RIVERA DE LA CRUZ,≤100,2
100247876318242,Adrian Blas,Adrián Blas,≤100,1
100866794872284,Chris Villalobos,Chris Valery Villalobos Muñoz,≤100,1
100815229093103,Ayacucho te informa,Juan Adolfo Suarez Zarate,≤100,1
