Location name,Amount spent (RON)
Alba County,704
Arad County,819
Argeș County,1239
Bacău County,973
Bihor County,1173
Bistrița-Năsăud County,562
Botoșani County,761
Brașov County,1864
Brăila County,532
Bucharest,5690
Buzău County,915
Caraș-Severin County,500
Cluj County,1828
Constanța County,1574
Covasna County,477
Călărași County,465
Dolj County,1259
Dâmbovița County,822
Galați County,998
Giurgiu County,312
Gorj County,702
Harghita County,694
Hunedoara County,1005
Ialomița County,352
Iași County,2237
Ilfov County,771
Maramureș County,872
Mehedinți County,517
Mureș County,1372
Neamț County,826
Olt County,562
Prahova County,1634
Satu Mare County,699
Sibiu County,967
Suceava County,1149
Sălaj County,473
Teleorman County,388
Timiș County,2094
Tulcea County,402
Unknown,≤100
Vaslui County,550
Vrancea County,661
Vâlcea County,655
