Location name,Amount spent (PLN)
Greater Poland Voivodeship,5980
Kuyavian-Pomeranian Voivodeship,3539
Lesser Poland Voivodeship,5737
Lower Silesian Voivodeship,5566
Lublin Voivodeship,2715
Lubusz Voivodeship,1974
Masovian Voivodeship,11665
Opole Voivodeship,1303
Podkarpackie Voivodeship,2678
Podlaskie Voivodeship,1404
Pomeranian Voivodeship,4204
Silesian Voivodeship,6858
Unknown,≤100
Warmian-Masurian Voivodeship,2051
West Pomeranian Voivodeship,3161
Łódź Voivodeship,3799
Świętokrzyskie Voivodeship,1585
