Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,235
Apurímac Region,≤100
Arequipa Region,369
Ayacucho Region,125
Cajamarca Region,225
Callao,156
Cusco Region,293
Huancavelica Region,≤100
Huánuco Region,128
Ica Region,261
Junín Region,242
La Libertad Region,448
Lambayeque Region,308
Lima Region,2783
Loreto Region,140
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,418
Puno Region,262
San Martín Region,181
Tacna Region,112
Tumbes Region,≤100
Ucayali Region,124
Unknown,≤100
