Location name,Amount spent (AED)
Abu Dhabi,296
Dubai,911
Emirate of Ajman,137
Emirate of Sharjah,332
Fujairah,≤100
Ras al-Khaimah,≤100
Umm al-Quwain,≤100
Unknown,≤100
