Location name,Amount spent (JPY)
Aichi Prefecture,59585
Akita Prefecture,8671
Aomori Prefecture,5968
Chiba Prefecture,36102
Ehime Prefecture,6478
Fukui Prefecture,4501
Fukuoka Prefecture,58338
Fukushima Prefecture,8158
Gifu Prefecture,16148
Gunma Prefecture,13254
Hiroshima Prefecture,14812
Hokkaido,37272
Hyōgo Prefecture,31887
Ibaraki Prefecture,14575
Ishikawa Prefecture,6608
Iwate Prefecture,6372
Kagawa Prefecture,5743
Kagoshima Prefecture,7429
Kanagawa Prefecture,77863
Kumamoto Prefecture,10844
Kyoto Prefecture,19071
Kōchi Prefecture,3063
Mie Prefecture,11112
Miyagi Prefecture,18434
Miyazaki Prefecture,5794
Nagano Prefecture,13104
Nagasaki Prefecture,7952
Nara Prefecture,7800
Niigata Prefecture,10679
Okayama Prefecture,12252
Okinawa Prefecture,11749
Osaka Prefecture,61806
Saga Prefecture,5066
Saitama Prefecture,40837
Shiga Prefecture,9790
Shimane Prefecture,5358
Shizuoka Prefecture,20832
Tochigi Prefecture,9047
Tokushima Prefecture,4331
Tokyo,112580
Tottori Prefecture,2430
Toyama Prefecture,5504
Unknown,≤100
Wakayama Prefecture,6247
Yamagata Prefecture,5855
Yamaguchi Prefecture,6082
Yamanashi Prefecture,5284
Ōita Prefecture,8675
