Location name,Amount spent (CLP)
Antofagasta Region,92920
Araucanía Region,103302
Arica y Parinacota Region,55553
Atacama Region,29733
Aysén Region,13892
Bío Bío Region,194915
Coquimbo Region,127794
Los Lagos Region,108953
Los Ríos Region,43536
Magallanes y la Antártica Chilena Region,24898
Maule Region,124521
O'Higgins Region,109166
Santiago Metropolitan Region,635317
Tarapacá Region,48643
Unknown,≤100
Valparaíso Region,143175
