Page ID,Page name,Disclaimer,Amount spent (NOK),Number of ads in Library
329095637110085,FRANTZ AS,Frantz as,21431,101
234659001772,Arbeiderpartiet,Arbeiderpartiet,8143,18
171619972854769,Oslo Arbeiderparti,Oslo Arbeiderparti,6017,2
282256964237,Jonas Gahr Støre,Arbeiderpartiet,4317,1
371106536283235,DAG OG TID,Dag og Tid AS,3826,2
135843375926,UNICEF Norge,UNICEF Norge,3814,27
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,3752,72
111345183340,Fagforbundet,Fagforbundet,3346,9
275389322558295,LOs sommerpatrulje,LO,3311,7
277788629092,Med Israel for fred (MIFF),Med Israel for fred (MIFF),3278,4
203067569732001,Fellesforbundet,Fellesforbundet,3250,48
246264862053914,Lørenskog Arbeiderparti,Lørenskog Arbeiderparti,2720,2
10953652930,Høyre,Høyre,1906,44
117726821605303,PBL,PBL,1770,39
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,1457,18
107005018213171,Heia Nord-Norge,Heia Nord-Norge AS,1291,5
113275862050709,Næringslivets Hovedorganisasjon,Næringslivets Hovedorganisasjon,1263,43
380405316155402,Stopp alzheimer og demens,Nasjonalforeningen for folkehelsen,1216,8
313753051208,Norsk Landbruksrådgiving,Norsk Landbruksrådgiving,1198,4
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,1013,1
623596214494727,Anima - Stopp dyremishandling,Anima - stopp dyremishandling,856,5
110628757129572,LO Vestfold og Telemark,LO,734,6
609322219124074,Bærum MDG,Bærum Miljøpartiet de Grønne,718,12
151608890040,Innlandet FrP,Innlandet FrP,684,2
200168040392101,Hustadvika kommune,These ads ran without a disclaimer,580,1
20468812735,LO,LO,543,6
227688410297,Radio Latin-Amerika,Radio Latin-Amerika,488,3
156545564365962,Stavanger Arbeiderparti,Stavanger Arbeiderparti,444,2
102417312912641,Rikard G. Knutsen - FrP,Asker FrP,427,2
100722841311675,"Kristiansand Pensjonistparti - Barn, Familie og Pensjonist",Kristiansand Pensjonistparti,411,7
132368899297,Framtiden i våre hender,Framtiden i våre hender,393,5
103057921635136,Folkets Parti Bergen,Foreningen FNB Bergen,357,4
798750773559841,Bufdir,"Barne-, ungdoms-, og familiedirektoratet",342,1
198748346812235,Drammen Venstre,Drammen Venstre,337,2
131631106897687,Øygarden FrP,Øygarden FrP,333,13
157929987567626,Oslo MDG,OSLO MILJØPARTIET DE GRØNNE,315,11
153402168051875,Bergen Senterparti,Bergen Senterparti,289,6
417968848252894,Besteforeldrenes klimaaksjon,Besteforeldrenes Klimaaksjon,288,4
153710294662597,Human-Etisk Forbund,Human-Etisk Forbund,287,4
101815422763212,Emil Raaen - Ordførerkandidat Ap,Trondheim Arbeiderparti,276,1
176175415825122,apotek.no,Apotekforeningen,272,20
200983583270624,NHO Service og Handel,NHO Service og Handel,271,4
119797291429215,RIO - en landsdekkende brukerorganisasjon på rusfeltet,RIO - en landsdekkende brukerorganisasjon på rusfeltet,268,1
34448777123,Haugesund Venstre,Haugesund Venstre,268,2
148389115200561,Kristiansand Venstre,Kristiansand Venstre,261,3
111322125898812,Filter Nyheter,Filter Nyheter,246,9
120374971332864,Kagge Forlag,Kagge Forlag,244,2
110023678604857,Asker Venstre,Asker Venstre,236,6
110379452067671,Ullensakerkommune Blog,Ullensakerkommune Blog,230,2
157803497575876,NHO Reiseliv,NHO Reiseliv,226,8
146731798709607,Bymiljølista i Fredrikstad,Bymiljølista i Fredrikstad,224,2
156202914404133,Minerva,Mediehuset Minerva,221,3
239677012734267,Fredrikstad Høyre,Fredrikstad Høyre,205,2
144754334087,Trøndelag Arbeiderparti,Trøndelag Arbeiderparti,196,7
109668258634924,Fylkesordførerkandidat Per Olav Skurdal Hopsø,Trøndelag Arbeiderparti,183,9
322525743444,Get Inspired,These ads ran without a disclaimer,180,2
139630365693,Drammen FrP,Drammen Fremskrittsparti,178,1
198148715581,Vestfold og Telemark FrP,Vestfold og Telemark FrP,169,1
458126690922579,Rødt Trøndelag,Rødt Trøndelag,164,3
180922468616209,Oslo SV,Oslo SV,164,1
536745556722065,Lillestrøm FrP,Lillestrøm FrP,163,2
219212891435404,Ullensaker FrP,Ullensaker FrP,158,3
105939782037295,Altinget.no,Altinget AS,158,2
289683304433819,Rælingen Høyre,Rælingen Høyre,155,6
133640403364515,Næringsforeningen Haugalandet,Næringsforeningen Haugalandet,155,4
183450288333331,Eidsvoll Høyre,Eidsvoll Høyre,150,2
150923871639160,Rødt Stavanger,Rødt Stavanger,147,1
119062344777724,Bjerke FrP,Bjerke FrP,145,2
186245021399622,Agder Senterparti,Agder Senterparti,144,2
128566103830426,Civita,Civita AS,134,3
1583324988565868,Stortinget,Stortinget,130,9
102264419459588,Akershus Høyre,Akershus Høyre,127,2
2398568533531114,Velferdsmiks,NHO Geneo,124,14
217610311592724,Bærum Arbeiderparti,Bærum Arbeiderparti,121,1
1430303507191895,Stange FrP,Stange FrP,121,1
105706168752816,NHO Geneo,NHO Geneo,120,5
2869351156469363,Tonje Lavik - FrP,Asker FrP,117,1
108203984145752,Kruse Larsen,Kruse Larsen,113,3
293848737309009,Livestock,These ads ran without a disclaimer,110,1
764891286856218,Porsgrunn Arbeiderparti,Porsgrunn Arbeiderparti,110,7
116313645108382,IFE - Institutt for energiteknikk,IFE - Institutt for energiteknikk,107,6
100107876331492,Telemark Arbeiderparti,Telemark Arbeiderparti,104,3
126570327547728,Kongsberg Høyre,Kongsberg Høyre,103,1
742559829145980,Bergen KrF,Bergen KrF,102,1
781470095268908,Skien Venstre,Skien Venstre,101,1
560222237756647,Lillestrøm Høyre,Lillestrøm Høyre,101,2
118470544845764,Moss SV,Moss SV,101,3
141589002521022,Oslo Høyre,Oslo Høyre,≤100,2
190006477676674,Fylkesordførerkandidat Sindre Martinsen-Evje,Østfold Arbeiderparti,≤100,1
