Location name,Amount spent (USD)
Azuay Province,679
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,112
Cotopaxi Province,160
El Oro Province,545
Esmeraldas Province,222
Galápagos Province,≤100
Guayas Province,1947
Imbabura Province,172
Loja Province,114
Los Ríos Province,889
Manabí Province,1373
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,1397
Santa Elena Province,125
Santo Domingo de los Tsáchilas Province,962
Sucumbíos Province,≤100
Tungurahua Province,243
Unknown,≤100
Zamora-Chinchipe Province,≤100
