Location name,Amount spent (PLN)
Greater Poland Voivodeship,7354
Kuyavian-Pomeranian Voivodeship,4064
Lesser Poland Voivodeship,7412
Lower Silesian Voivodeship,6110
Lublin Voivodeship,3656
Lubusz Voivodeship,2226
Masovian Voivodeship,12776
Opole Voivodeship,1699
Podkarpackie Voivodeship,3706
Podlaskie Voivodeship,2058
Pomeranian Voivodeship,4966
Silesian Voivodeship,8584
Unknown,≤100
Warmian-Masurian Voivodeship,3011
West Pomeranian Voivodeship,3494
Łódź Voivodeship,4784
Świętokrzyskie Voivodeship,2064
