Location name,Amount spent (IDR)
Aceh,4312133
Bali,2837480
Bangka–Belitung Islands,918121
Banten,6251130
Bengkulu,1619331
Central Java,15346718
Central Kalimantan,1415801
Central Sulawesi,1817248
East Java,13500253
East Kalimantan,3537735
East Nusa Tenggara,3393053
Gorontalo,1173168
Jakarta,22165158
Jambi,1986722
Lampung,4109305
Maluku,2305549
North Kalimantan,855403
North Maluku,895820
North Sulawesi,4416682
North Sumatra,7230953
Papua (province),1106887
Riau,3248724
Riau Islands Province,1836839
South Kalimantan,1815525
South Sulawesi,8319308
South Sumatra,8033174
Southeast Sulawesi,1580229
Special Region of Yogyakarta,2080828
Unknown,19553
West Java,22871497
West Kalimantan,2957885
West Nusa Tenggara,2355139
West Papua,709370
West Sulawesi,924282
West Sumatra,4851338
