Location name,Amount spent (IDR)
Aceh,1011752
Bali,2164270
Bangka–Belitung Islands,451032
Banten,3570483
Bengkulu,795692
Central Java,8897695
Central Kalimantan,808529
Central Sulawesi,1170422
East Java,9063686
East Kalimantan,2254492
East Nusa Tenggara,1962877
Gorontalo,702153
Jakarta,6917479
Jambi,1078060
Lampung,1737252
Maluku,803032
North Kalimantan,380108
North Maluku,758335
North Sulawesi,2282098
North Sumatra,6948208
Papua (province),1280341
Riau,2285378
Riau Islands Province,1070863
South Kalimantan,1239244
South Sulawesi,2817908
South Sumatra,2425687
Southeast Sulawesi,956078
Special Region of Yogyakarta,1325256
Unknown,2085
West Java,13229498
West Kalimantan,1538002
West Nusa Tenggara,1985828
West Papua,612928
West Sulawesi,520837
West Sumatra,1391548
