Location name,Amount spent (THB)
Amnat Charoen,135
Ang Thong,181
Ayutthaya,640
Bangkok,21695
Bueng Kan,158
Buriram,596
Chachoengsao,515
Chai Nat,160
Chaiyaphum,418
Chanthaburi,371
Chiang Mai,2180
Chiang Rai,668
Chon Buri,1830
Chumphon,342
Kalasin,346
Kamphaeng Phet,539
Kanchanaburi,656
Khon Kaen,998
Krabi,317
Lampang,528
Lamphun,224
Loei,314
Lop Buri,406
Mae Hong Son,105
Maha Sarakham,434
Mukdahan,175
Nakhon Nayok,133
Nakhon Pathom,632
Nakhon Phanom,282
Nakhon Ratchasima,1464
Nakhon Sawan,618
Nakhon Si Thammarat,883
Nan,199
Narathiwat,309
Nong Bua Lam Phu,217
Nong Khai,256
Nonthaburi,1710
Pathum Thani,926
Pattani,562
Phangnga,187
Phatthalung,352
Phayao,230
Phetchabun,385
Phetchaburi,322
Phichit,236
Phitsanulok,1152
Phrae,242
Phuket,727
Prachin Buri,452
Prachuap Khiri Khan,358
Ranong,147
Ratchaburi,622
Rayong,1109
Roi Et,523
Sa Kaeo,244
Sakon Nakhon,471
Samut Prakan,640
Samut Sakhon,523
Samut Songkhram,154
Saraburi,513
Satun,295
Sing Buri,122
Sisaket,489
Songkhla,2833
Sukhothai,315
Suphan Buri,493
Surat Thani,1349
Surin,544
Tak,323
Trang,370
Trat,209
Ubon Ratchathani,1020
Udon Thani,714
Unknown,≤100
Uthai Thani,161
Uttaradit,367
Yala Province,399
Yasothon,219
