Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,297
Cerro Largo Department,120
Colonia Department,292
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,139
Montevideo Department,1715
Paysandú Department,119
Rivera Department,173
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,298
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,107
Treinta y Tres Department,102
Unknown,≤100
