Page ID,Page name,Disclaimer,Amount spent (PEN),Number of ads in Library
101665683225827,José Luna Gálvez - Pepe Luna,Laidy Diana Peceros Espinoza,3607,2
109019574560600,Aula Gaceta,Joel V. Supo Baldo,430,4
264223880347121,Lampadia Oficial,LAMPADIA,319,70
167878593236712,UNICEF en español,These ads ran without a disclaimer,114,2
116918291306306,Asociación por más y mejores pensiones,These ads ran without a disclaimer,102,1
100330785132565,Saca tu cuenta,Juan Jose Garcia Chau,≤100,11
121759302958701,René Chávez - El Médico del Pueblo,Somos Perú Loreto,≤100,3
142062936237878,Goberna,Goberna,≤100,28
100500902383840,Propuestas del Bicentenario,Videnza Fundación,≤100,1
191077005135461,Neptalí Ramírez,Neptali Aarón Ramirez Abanto,≤100,1
276025769133211,Expo Proveedores Perú,Expo Proveedores Perú,≤100,3
474392346103738,RCR Red de Comunicación Regional,Red de Comunicación Regional,≤100,5
101924456538234,Sociedad Nacional de Industrias,Sociedad Nacional de Industrias,≤100,1
687691121319854,Ernesto Álvarez Miranda,Ernesto Julio Alvarez Miranda,≤100,3
338981689449524,Raúl Diez Canseco Terry,Percy Ramirez Ramos,≤100,4
1629211737145398,Dr. José Carlos Ordoñez,Jose Carlos Ordoñez Castro,≤100,1
495706950531442,Pepe Feria,Pepe Feria,≤100,2
335551357288,Flor de Maria Hurtado Valdez,Flor De Maria Hurtado Valdez,≤100,1
107206171527221,Grupo Ocho Sur,Ocho Sur,≤100,1
116301553829102,Cedren,Cedren,≤100,9
111611319673019,Desarrollo Institucional,Desarrollo Institucional,≤100,3
699489483476556,Darwin Espinoza Vargas,Jhaec Darwin Espinoza Vargas,≤100,4
270194287073872,Beatriz Madrid,Beatriz Madrid Amayo,≤100,2
102009868271044,Noticias Piura,Noticias Piura,≤100,3
1643625532431014,Karol Paredes,Karol Ivett Paredes Fonseca,≤100,2
106395164602216,Juan Burgos,Luis Alberto Chavarry Gutierrez,≤100,1
903318999727405,Partido Morado - Región Tacna,Angela Feliciano Marca,≤100,2
316564475960113,Estudio Jurídico Tarazona & Asociados,Diego Alberto Isla Yengle,≤100,3
107972128106412,Adelante Perú,Adelante Peru,≤100,1
119017306165575,Juan Carranza,Daniel Rojas Valdivieso,≤100,1
101461505259421,Katy Ugarte Congresista de la República por Cusco,Katy Ugarte Congresista de la República por Cusco,≤100,4
1097610150311890,Grupo ISP,Grupo ISP,≤100,2
409975382947239,Noizz,These ads ran without a disclaimer,≤100,1
100250989565360,Aurífera Tres Cruces,Julio César Nima,≤100,1
103343212628464,Ciencia Política y Gobierno EGDN,Luis Harold Raciel Levano Ochoa,≤100,1
462790453744032,Sutep,Sindicato Unitario de Trabajadores en la Educación del Perú - SUTEP,≤100,12
341727142519006,Demus-Estudio para la Defensa de los Derechos de la Mujer,DEMUS - Estudio para la Defensa de los Derechos de las Mujeres,≤100,1
102775842736349,Erick Melchor Torres - Regidor de Los Olivos,Enrique Godofredo Vildoso Alvarado,≤100,1
125508350804506,Universidad Continental Posgrado,Guisselle Xiomara Lazo Pazce,≤100,1
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100,8
103890681794133,Asociación Nacional de Profesionales de EsSalud,Jimena Vega Cabana,≤100,1
106597324616366,Asociación Latinoamericana De Mujeres Abogadas Alma,Edith Betzabe Carranza Enríquez,≤100,1
104264071546502,Asociación de Regidores del Perú - ARPE,Liset Teodocia Valdivia Trujillo,≤100,1
