Location name,Amount spent (PYG)
Alto Paraguay Department,20175
Alto Paraná Department,426261
Amambay Department,45143
Asunción,462405
Boquerón department,16538
Caaguazú Department,150294
Caazapá Department,25334
Canindeyú Department,37887
Central Department,1434159
Concepción Department (Paraguay),64738
Cordillera Department,80028
Guairá Department,48589
Itapúa Department,123458
Misiones Department,56390
Paraguarí Department,45018
Presidente Hayes Department,34186
San Pedro Department,57827
Unknown,147
Ñeembucú Department,67770
