Location name,Amount spent (IDR)
Aceh,1240778
Bali,2569753
Bangka–Belitung Islands,657090
Banten,3016211
Bengkulu,1162024
Central Java,10106751
Central Kalimantan,1117023
Central Sulawesi,1443810
East Java,10560488
East Kalimantan,3287665
East Nusa Tenggara,1899120
Gorontalo,899688
Jakarta,19232854
Jambi,1398082
Lampung,2004425
Maluku,824060
North Kalimantan,567500
North Maluku,711135
North Sulawesi,3154678
North Sumatra,4828353
Papua (province),1034875
Riau,2734723
Riau Islands Province,1462485
South Kalimantan,2090167
South Sulawesi,5752502
South Sumatra,2836494
Southeast Sulawesi,1175102
Special Region of Yogyakarta,1543119
Unknown,17568
West Java,12397672
West Kalimantan,2053568
West Nusa Tenggara,2024878
West Papua,558460
West Sulawesi,677793
West Sumatra,2175248
