Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,413
Basra Governorate,131
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,189
Erbil Governorate,405
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,150
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,244
Saladin Governorate,≤100
Sulaymaniyah Governorate,386
Unknown,≤100
Wasit Governorate,≤100
