Location name,Amount spent (PYG)
Alto Paraguay Department,63082
Alto Paraná Department,6890121
Amambay Department,894701
Asunción,7121238
Boquerón department,278981
Caaguazú Department,2463210
Caazapá Department,537118
Canindeyú Department,832765
Central Department,16614142
Concepción Department (Paraguay),976182
Cordillera Department,1661259
Guairá Department,1234777
Itapúa Department,2727501
Misiones Department,1047870
Paraguarí Department,821312
Presidente Hayes Department,678876
San Pedro Department,1085349
Unknown,169
Ñeembucú Department,743872
