Location name,Amount spent (DKK)
Capital Region of Denmark,38716
Central Denmark Region,17295
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,7868
Region of Southern Denmark,15507
Unknown,≤100
Zealand Region,14585
