Location name,Amount spent (HUF)
Baranya County,122838
Borsod-Abaúj-Zemplén County,187413
Budapest,901727
Bács-Kiskun County,158086
Békés County,110908
Csongrád County,162432
Fejér County,145843
Győr-Moson-Sopron County,153515
Hajdú-Bihar County,178192
Heves County,93827
Jász-Nagykun-Szolnok County,113447
Komárom-Esztergom County,98698
Nógrád County,58997
Pest County,353705
Somogy County,90182
Szabolcs-Szatmár-Bereg County,154271
Tolna County,75901
Unknown,155
Vas County,80850
Veszprém County,105498
Zala County,96244
