Location name,Amount spent (VND)
An Giang Province,112675
Bà Rịa–Vũng Tàu Province,192089
Bình Dương Province,335142
Bình Phước Province,194024
Bình Thuận Province,239369
Bình Định Province,359587
Bạc Liêu Province,47822
Bắc Giang Province,466051
Bắc Kạn Province,85152
Bắc Ninh Province,263204
Bến Tre Province,87027
Cao Bằng Province,111635
Cà Mau Province,95972
Cần Thơ,84772
Da Nang,491748
Gia Lai Province,215673
Haiphong,352006
Ho Chi Minh City,1827207
Hà Giang Province,119136
Hà Nam Province,174541
Hà Tĩnh Province,346736
Hòa Bình Province,171906
Hưng Yên Province,230042
Hải Dương Province,445138
Hậu Giang Province,52386
Khánh Hòa Province,116059
Kiên Giang Province,152985
Kon Tum Province,88589
Lai Châu Province,33953
Long An Province,145910
Lào Cai Province,103843
Lâm Đồng Province,182514
Lạng Sơn Province,183093
Nam Định Province,276053
Nghệ An Province,707245
Ninh Bình Province,227051
Ninh Thuận Province,72807
Phú Thọ Province,474105
Phú Yên Province,124812
Quảng Bình Province,212020
Quảng Nam Province,461034
Quảng Ngãi Province,198676
Quảng Ninh Province,199256
Quảng Trị Province,135446
Sóc Trăng Province,72527
Sơn La Province,185969
Thanh Hóa Province,1904926
Thái Bình Province,374138
Thái Nguyên Province,321759
Thừa Thiên–Huế Province,337806
Tiền Giang Province,119395
Trà Vinh Province,59629
Tuyên Quang Province,360442
Tây Ninh Province,354939
Unknown,≤100
Vĩnh Long Province,56027
Vĩnh Phúc Province,275889
Yên Bái Province,184793
Điện Biên Province,97297
Đắk Lắk Province,312610
Đắk Nông Province,123776
Đồng Nai Province,385630
Đồng Tháp Province,81660
