Location name,Amount spent (PLN)
Greater Poland Voivodeship,4875
Kuyavian-Pomeranian Voivodeship,2831
Lesser Poland Voivodeship,4907
Lower Silesian Voivodeship,3903
Lublin Voivodeship,2648
Lubusz Voivodeship,1442
Masovian Voivodeship,9108
Opole Voivodeship,1023
Podkarpackie Voivodeship,2169
Podlaskie Voivodeship,1339
Pomeranian Voivodeship,3476
Silesian Voivodeship,5281
Unknown,≤100
Warmian-Masurian Voivodeship,1605
West Pomeranian Voivodeship,2556
Łódź Voivodeship,3401
Świętokrzyskie Voivodeship,1207
