Location name,Amount spent (MYR)
Johor,703
Kedah,509
Kelantan,314
Kuala Lumpur,1094
Labuan,≤100
Malacca,300
Negeri Sembilan,307
Pahang,320
Penang,374
Perak,609
Perlis,≤100
Putrajaya,≤100
Sabah,609
Sarawak,688
Selangor,1578
Terengganu,350
Unknown,≤100
