Location name,Amount spent (EUR)
Andrijevica Municipality,≤100
Bar Municipality,142
Berane Municipality,≤100
Bijelo Polje Municipality,184
Budva Municipality,178
Danilovgrad Municipality,≤100
Herceg Novi Municipality,106
Kolašin Municipality,≤100
Nikšić Municipality,305
Old Royal Capital Cetinje,≤100
Petnjica Municipality,≤100
Plav Municipality,≤100
Pljevlja Municipality,104
Plužine Municipality,≤100
Podgorica Capital City,984
Rožaje Municipality,≤100
Tivat Municipality,143
Ulcinj Municipality,157
Unknown,≤100
Šavnik Municipality,≤100
Žabljak Municipality,≤100
