Location name,Amount spent (PYG)
Alto Paraguay Department,78523
Alto Paraná Department,1328274
Amambay Department,101625
Asunción,1280725
Boquerón department,55092
Caaguazú Department,493197
Caazapá Department,88710
Canindeyú Department,121388
Central Department,3661432
Concepción Department (Paraguay),161272
Cordillera Department,247494
Guairá Department,117675
Itapúa Department,515267
Misiones Department,127027
Paraguarí Department,134197
Presidente Hayes Department,78191
San Pedro Department,212605
Unknown,1192
Ñeembucú Department,69902
