Location name,Amount spent (NZD)
Auckland Region,5625
Bay of Plenty Region,950
Canterbury,2003
Gisborne District,128
Hawke's Bay,496
Manawatu-Wanganui,831
Marlborough Region,128
Nelson Province,205
Northland Region,547
Otago,827
Southland,272
Taranaki,386
Tasman District,132
Unknown,≤100
Waikato,1315
Wellington Region,1526
West Coast,≤100
