Page ID,Page name,Disclaimer,Amount spent (KES),Number of ads in Library
362328664703,Start Talking Kenya,Well Made Strategy,1199,10
102324481269298,Hon. Zamzam Mohammed,Hon. Zamzam Mohammed,541,5
100554599084525,"Mary Maingi, MP",The Mary Maingi Society,513,2
108703681766380,Coletta,Coletta,280,1
112754900441156,DR. Kiarie Badilisha,DR. Kiarie Badilisha,249,1
101926822644856,TRT Afrika Swahili,These ads ran without a disclaimer,117,1
123465590650551,Allied Health Group USA,These ads ran without a disclaimer,≤100,1
402374586906969,DKT WomanCare Global,These ads ran without a disclaimer,≤100,1
111572341940293,theurishotit,These ads ran without a disclaimer,≤100,1
1064304623746252,Rights Africa,These ads ran without a disclaimer,≤100,1
412238482219683,Kambaland,Kambaland,≤100,1
102873532224080,Jumping Jim,These ads ran without a disclaimer,≤100,1
1655478897929127,Ladies Social Network,These ads ran without a disclaimer,≤100,1
176104589110851,IEEE,These ads ran without a disclaimer,≤100,1
105841515741486,African Peace and Security Union - APSU,These ads ran without a disclaimer,≤100,1
110435435178433,UKD SHOWS,These ads ran without a disclaimer,≤100,1
1027626217435226,Richouses,These ads ran without a disclaimer,≤100,1
10750083165,The Africa Report,These ads ran without a disclaimer,≤100,1
405199520209766,The Belt and Road News Network,These ads ran without a disclaimer,≤100,1
30911162508,Forbes,These ads ran without a disclaimer,≤100,1
