Location name,Amount spent (TRY)
Adana Province,1358
Adıyaman Province,116
Afyonkarahisar Province,212
Aksaray Province,391
Amasya Province,≤100
Ankara Province,2442
Antalya Province,1225
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,536
Ağrı Province,≤100
Balıkesir Province,448
Bartın Province,≤100
Batman Province,151
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,105
Burdur Province,≤100
Bursa Province,1422
Denizli Province,442
Diyarbakır Province,312
Düzce Province,115
Edirne Province,≤100
Elazığ Province,129
Erzincan Province,≤100
Erzurum Province,112
Eskişehir Province,400
Gaziantep Province,589
Giresun Province,133
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,530
Isparta Province,154
Istanbul Province,12727
Iğdır Province,≤100
Kahramanmaraş Province,250
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,1523
Kilis Province,≤100
Kocaeli Province,877
Konya Province,593
Kütahya Province,158
Kırklareli Province,105
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,153
Manisa Province,455
Mardin Province,123
Mersin Province,1616
Muğla Province,852
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,194
Osmaniye Province,225
Rize Province,113
Sakarya Province,232
Samsun Province,330
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,141
Tekirdağ Province,504
Tokat Province,127
Trabzon Province,200
Tunceli Province,≤100
Unknown,≤100
Uşak Province,133
Van Province,172
Yalova Province,117
Yozgat Province,107
Zonguldak Province,139
Çanakkale Province,811
Çankırı Province,≤100
Çorum Province,131
İzmir Province,2770
Şanlıurfa Province,331
Şırnak Province,≤100
