Location name,Amount spent (TWD)
Changhua,7789
Chiayi,2261
Hsinchu,3424
Hsinchu City,5862
Hualien,2571
Kaohsiung,30132
Keelung City,3499
Kinmen,488
Lienchiang,≤100
Miaoli,3907
Nantou,4270
New Taipei City,46019
Penghu,634
Pingtung,5034
Taichung,34419
Tainan,17094
Taipei,37658
Taitung,1853
Taoyuan City,26254
Unknown,4243
Yilan,2685
Yunlin,4408
