Location name,Amount spent (THB)
Amnat Charoen,134
Ang Thong,121
Ayutthaya,478
Bangkok,9210
Bueng Kan,163
Buriram,502
Chachoengsao,372
Chai Nat,144
Chaiyaphum,357
Chanthaburi,260
Chiang Mai,1506
Chiang Rai,615
Chon Buri,1347
Chumphon,278
Kalasin,379
Kamphaeng Phet,310
Kanchanaburi,413
Khon Kaen,871
Krabi,245
Lampang,399
Lamphun,232
Loei,284
Lop Buri,318
Mae Hong Son,166
Maha Sarakham,402
Mukdahan,156
Nakhon Nayok,≤100
Nakhon Pathom,397
Nakhon Phanom,243
Nakhon Ratchasima,1209
Nakhon Sawan,604
Nakhon Si Thammarat,718
Nan,244
Narathiwat,328
Nong Bua Lam Phu,209
Nong Khai,223
Nonthaburi,700
Pathum Thani,591
Pattani,499
Phangnga,155
Phatthalung,414
Phayao,219
Phetchabun,330
Phetchaburi,239
Phichit,217
Phitsanulok,979
Phrae,218
Phuket,376
Prachin Buri,374
Prachuap Khiri Khan,281
Ranong,115
Ratchaburi,483
Rayong,723
Roi Et,440
Sa Kaeo,223
Sakon Nakhon,478
Samut Prakan,408
Samut Sakhon,429
Samut Songkhram,≤100
Saraburi,366
Satun,184
Sing Buri,≤100
Sisaket,487
Songkhla,3304
Sukhothai,246
Suphan Buri,343
Surat Thani,983
Surin,494
Tak,300
Trang,304
Trat,106
Ubon Ratchathani,853
Udon Thani,750
Unknown,≤100
Uthai Thani,134
Uttaradit,242
Yala Province,365
Yasothon,200
