Location name,Amount spent (PGK)
Chimbu Province,≤100
East New Britain Province,≤100
East Sepik Province,≤100
Eastern Highlands Province,≤100
Enga Province,≤100
Jiwaka Province,≤100
Madang Province,≤100
Morobe Province,≤100
Oro Province,≤100
Port Moresby,≤100
Western Highlands Province,≤100
