Location name,Amount spent (AUD)
Australian Capital Territory,877
Jervis Bay Territory,≤100
New South Wales,20040
Norfolk Island,≤100
Northern Territory,523
Queensland,14093
South Australia,5641
Tasmania,1361
Unknown,≤100
Victoria,19557
Western Australia,6494
