Location name,Amount spent (INR)
Andaman and Nicobar Islands,238
Andhra Pradesh,71718
Arunachal Pradesh,687
Assam,21814
Bihar,84803
Chandigarh,2215
Chhattisgarh,37163
Dadra and Nagar Haveli,683
Delhi,44202
Goa,1749
Gujarat,47975
Haryana,37204
Himachal Pradesh,11337
Jammu and Kashmir,9351
Jharkhand,16025
Karnataka,277541
Kerala,11477
Lakshadweep,≤100
Madhya Pradesh,72116
Maharashtra,140283
Manipur,1825
Meghalaya,76941
Mizoram,512
Nagaland,815
Odisha,16854
Puducherry,1029
Punjab region,29942
Rajasthan,111696
Sikkim,573
Tamil Nadu,37682
Telangana,48760
Tripura,2198
Unknown,≤100
Uttar Pradesh,94228
Uttarakhand,11292
West Bengal,43118
