Location name,Amount spent (DKK)
Capital Region of Denmark,26142
Central Denmark Region,13079
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,5594
Region of Southern Denmark,11353
Unknown,≤100
Zealand Region,7692
