Location name,Amount spent (JPY)
Aichi Prefecture,55916
Akita Prefecture,1771
Aomori Prefecture,2148
Chiba Prefecture,23437
Ehime Prefecture,2799
Fukui Prefecture,2281
Fukuoka Prefecture,48699
Fukushima Prefecture,3832
Gifu Prefecture,6994
Gunma Prefecture,3584
Hiroshima Prefecture,9721
Hokkaido,13068
Hyōgo Prefecture,18578
Ibaraki Prefecture,7101
Ishikawa Prefecture,3401
Iwate Prefecture,2286
Kagawa Prefecture,2673
Kagoshima Prefecture,2839
Kanagawa Prefecture,60158
Kumamoto Prefecture,4941
Kyoto Prefecture,15373
Kōchi Prefecture,1241
Mie Prefecture,4004
Miyagi Prefecture,12516
Miyazaki Prefecture,2717
Nagano Prefecture,6156
Nagasaki Prefecture,4601
Nara Prefecture,3534
Niigata Prefecture,4613
Okayama Prefecture,5278
Okinawa Prefecture,7006
Osaka Prefecture,83995
Saga Prefecture,3298
Saitama Prefecture,22953
Shiga Prefecture,3786
Shimane Prefecture,2413
Shizuoka Prefecture,10409
Tochigi Prefecture,4272
Tokushima Prefecture,1573
Tokyo,135781
Tottori Prefecture,1087
Toyama Prefecture,2609
Unknown,≤100
Wakayama Prefecture,1903
Yamagata Prefecture,3622
Yamaguchi Prefecture,2984
Yamanashi Prefecture,2441
Ōita Prefecture,3439
