Location name,Amount spent (CAD)
Alberta,29994
British Columbia,9290
Manitoba,2804
New Brunswick,1044
Newfoundland and Labrador,760
Northwest Territories,322
Nova Scotia,1405
Nunavut,249
Ontario,25517
Prince Edward Island,285
Quebec,10899
Saskatchewan,2251
Unknown,≤100
Yukon,296
