Location name,Amount spent (HUF)
Baranya County,305619
Borsod-Abaúj-Zemplén County,389131
Budapest,1599351
Bács-Kiskun County,343597
Békés County,229939
Csongrád County,332525
Fejér County,302927
Győr-Moson-Sopron County,339056
Hajdú-Bihar County,359985
Heves County,199280
Jász-Nagykun-Szolnok County,246130
Komárom-Esztergom County,226112
Nógrád County,125192
Pest County,772090
Somogy County,194091
Szabolcs-Szatmár-Bereg County,309915
Tolna County,168067
Unknown,285
Vas County,209576
Veszprém County,239621
Zala County,196139
