Location name,Amount spent (EGP)
Al Sharqia Governorate,2983
Alexandria Governorate,4144
Aswan Governorate,499
Asyut Governorate,1192
Beheira Governorate,1838
Beni Suef Governorate,741
Cairo Governorate,9211
Dakahlia Governorate,3501
Damietta Governorate,1087
Faiyum Governorate,765
Gharbia Governorate,2799
Giza Governorate,2464
Ismailia Governorate,708
Kafr el-Sheikh Governorate,1456
Luxor Governorate,317
Matrouh Governorate,101
Minya Governorate,1147
Monufia Governorate,1696
New Valley Governorate,129
North Sinai Governorate,269
Port Said Governorate,580
Qalyubia Governorate,2048
Qena Governorate,775
Red Sea Governorate,316
Sohag Governorate,1254
South Sinai Governorate,127
Suez Governorate,478
Unknown,≤100
