Location name,Amount spent (CAD)
Alberta,17296
British Columbia,12136
Manitoba,2291
New Brunswick,1607
Newfoundland and Labrador,583
Northwest Territories,≤100
Nova Scotia,1703
Nunavut,≤100
Ontario,27696
Prince Edward Island,213
Quebec,12995
Saskatchewan,2662
Unknown,≤100
Yukon,121
