Location name,Amount spent (IDR)
Aceh,1329982
Bali,816925
Bangka–Belitung Islands,219689
Banten,3475038
Bengkulu,256201
Central Java,10504287
Central Kalimantan,271767
Central Sulawesi,469849
East Java,11120508
East Kalimantan,918197
East Nusa Tenggara,748140
Gorontalo,219607
Jakarta,6624592
Jambi,395704
Lampung,2400297
Maluku,622816
North Kalimantan,129590
North Maluku,121836
North Sulawesi,1363941
North Sumatra,4389883
Papua (province),338855
Riau,1210569
Riau Islands Province,422275
South Kalimantan,696683
South Sulawesi,2067039
South Sumatra,2315324
Southeast Sulawesi,287851
Special Region of Yogyakarta,693738
Unknown,2288
West Java,8695650
West Kalimantan,994151
West Nusa Tenggara,656496
West Papua,186489
West Sulawesi,162295
West Sumatra,1325116
