Location name,Amount spent (VEF)
Amazonas,1339
Anzoátegui,4397208
Apure,758406
Aragua,5414118
Barinas,1755803
Bolívar (state),5033929
Capital District,13401091
Carabobo,22634865
Cojedes,544733
Delta Amacuro,455447
Falcón,1758035
Guárico,1203597
Lara,3794911
Miranda (state),3914308
Monagas,1155538
Mérida,5716494
Nueva Esparta,1192858
Portuguesa,1704823
Sucre,1264284
Trujillo,1258035
Táchira,9015177
Unknown,≤100
Vargas,1175446
Yaracuy,1754464
Zulia,33880746
