Location name,Amount spent (EUR)
Blagoevgrad Province,757
Burgas Province,1478
Dobrich Province,1186
Gabrovo Province,283
Haskovo Province,448
Kardzhali Province,291
Kyustendil Province,187
Lovech Province,244
Montana Province,200
Pazardzhik Province,641
Pernik Province,368
Pleven Province,1451
Plovdiv Province,1888
Razgrad Province,429
Ruse Province,679
Shumen Province,302
Silistra Province,251
Sliven Province,1057
Smolyan Province,196
Sofia City Province,6295
Sofia Province,475
Stara Zagora Province,945
Targovishte Province,275
Unknown,≤100
Varna Province,2202
Veliko Tarnovo Province,707
Vidin Province,177
Vratsa Province,1016
Yambol Province,307
