Location name,Amount spent (EGP)
Al Sharqia Governorate,2474
Alexandria Governorate,1773
Aswan Governorate,355
Asyut Governorate,618
Beheira Governorate,942
Beni Suef Governorate,455
Cairo Governorate,5605
Dakahlia Governorate,1499
Damietta Governorate,504
Faiyum Governorate,425
Gharbia Governorate,1329
Giza Governorate,1673
Ismailia Governorate,1323
Kafr el-Sheikh Governorate,680
Luxor Governorate,266
Matrouh Governorate,112
Minya Governorate,766
Monufia Governorate,1011
New Valley Governorate,157
North Sinai Governorate,128
Port Said Governorate,210
Qalyubia Governorate,1561
Qena Governorate,443
Red Sea Governorate,148
Sohag Governorate,658
South Sinai Governorate,≤100
Suez Governorate,189
Unknown,≤100
