Page ID,Page name,Disclaimer,Amount spent (HNL),Number of ads in Library
643513979193133,Unidos por Beatriz,Neuma,894,20
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,816,1
130202453827085,Asociacion Calidad de Vida,Asociación Calidad de Vida,795,5
104599735671754,Goberna Honduras,Goberna Honduras,192,7
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),147,1
1947339538818882,Gloria Bonilla Diputada,Erika Rivera,129,1
1392592317738074,Jorge Cálix,Jorge Cálix,127,26
129952720961741,Acción Democrática,These ads ran without a disclaimer,123,1
486382251906084,Honduras El Pais,Diario El  Pais.hn,110,3
459107311130639,Dr. Luther Harry,Dr. Luther Harry,≤100,1
483441215141189,ASJ Honduras,Asociación para una Sociedad más Justa,≤100,1
1152610414791062,LIBRE Islas de la Bahía,Gerardo Jose Francisco Perez Montoya,≤100,1
1047750315359377,Tato Loucel,Edgardo  Hernan Loucel Aguilera,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
109391388543268,Mariana Alves,These ads ran without a disclaimer,≤100,2
105924582287904,maquillandopermanente,These ads ran without a disclaimer,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
1656590977890066,IDEO U,These ads ran without a disclaimer,≤100,1
451540138213436,UNICEF Sudan,These ads ran without a disclaimer,≤100,2
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,≤100,1
108966741644172,Koray Beserler 1,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
106020818387384,Oniceth DeJehova -Oracion Sanadora,These ads ran without a disclaimer,≤100,1
462848513792011,国家大剧院National Centre for the Performing Arts,These ads ran without a disclaimer,≤100,1
1102199946478493,Spotlight,These ads ran without a disclaimer,≤100,2
122775067736304,POWER magazine,These ads ran without a disclaimer,≤100,1
