Location name,Amount spent (GTQ)
Alta Verapaz Department,125
Baja Verapaz Department,≤100
Chimaltenango Department,≤100
Chiquimula Department,≤100
El Progreso Department,≤100
Escuintla Department,143
Guatemala Department,18330
Huehuetenango Department,167
Izabal Department,122
Jalapa Department,≤100
Jutiapa Department,≤100
Petén Department,≤100
Quetzaltenango Department,196
Quiché Department,117
Retalhuleu Department,≤100
Sacatepéquez Department,≤100
San Marcos Department,416
Santa Rosa Department,≤100
Sololá Department,≤100
Suchitepéquez Department,172
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
