Location name,Amount spent (EUR)
Alsace,591
Aquitaine,951
Auvergne,280
Basse-Normandie,327
Bourgogne,358
Bretagne,812
Centre,651
Champagne-Ardenne,272
Corse,101
Franche-Comté,225
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,698
Languedoc-Roussillon,891
Limousin,174
Lorraine,775
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,780
New Caledonia,≤100
Nord-Pas-de-Calais,1158
Pays de la Loire,955
Picardie,428
Poitou-Charentes,428
Provence-Alpes-Côte d'Azur,1621
Reunion Island,≤100
Rhône-Alpes,1562
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,2870
