Location name,Amount spent (DKK)
Capital Region of Denmark,36736
Central Denmark Region,20093
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,7916
Region of Southern Denmark,17914
Unknown,≤100
Zealand Region,10111
