Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,163
Cerro Largo Department,≤100
Colonia Department,≤100
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,335
Montevideo Department,2456
Paysandú Department,≤100
Rivera Department,131
Rocha Department,≤100
Río Negro Department,131
Salto Department,≤100
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
