Location name,Amount spent (MXN)
Aguascalientes,8050
Baja California,24943
Baja California Sur,3799
Campeche,19535
Chiapas,27709
Chihuahua,26577
Coahuila de Zaragoza,166580
Colima,3563
Distrito Federal,183404
Durango,8925
Guanajuato,23776
Guerrero,15229
Hidalgo,12047
Jalisco,153333
Michoacán de Ocampo,25117
Morelos,18412
Nayarit,3030
Nuevo León,67789
Oaxaca,12170
Puebla,35062
Querétaro Arteaga,21966
Quintana Roo,37811
San Luis Potosi,20796
Sinaloa,5568
Sonora,16664
State of Mexico,324576
Tabasco,9227
Tamaulipas,23046
Tlaxcala,5511
Unknown,≤100
Veracruz,33138
Yucatán,31211
Zacatecas,3933
