Location name,Amount spent (COP)
Amazonas,1048
Antioquia,6112391
Arauca,28371
Atlantico,1185396
Bolivar,157310
Boyaca,365935
Caldas,1082361
Caqueta,27839
Casanare,132095
Cauca,305785
Cesar,118261
Choco,18492
Cordoba,358525
Cundinamarca,547807
Distrito Especial,2972868
Guainia,473
Guaviare,56672
Huila,205144
La Guajira,59368
Magdalena,121253
Meta,338862
Narino,111856
Norte de Santander,326040
Putumayo,232611
Quindio,77652
Risaralda,306425
San Andres y Providencia,99151
Santander,675126
Sucre,228248
Tolima,166581
Unknown,613
Valle del Cauca,3928005
Vaupes,416
Vichada,534
