Location name,Amount spent (PKR)
Azad Kashmir,825
Balochistan,1315
Federally Administered Tribal Areas,298
Gilgit-Baltistan,461
Islamabad Capital Territory,1867
Khyber Pakhtunkhwa,7219
Punjab,44513
Sindh,15116
Unknown,≤100
