Location name,Amount spent (INR)
Andaman and Nicobar Islands,152
Andhra Pradesh,30251
Arunachal Pradesh,1051
Assam,12587
Bihar,34281
Chandigarh,2023
Chhattisgarh,25077
Dadra and Nagar Haveli,705
Delhi,43079
Goa,5350
Gujarat,42513
Haryana,29662
Himachal Pradesh,12674
Jammu and Kashmir,14698
Jharkhand,14341
Karnataka,2494316
Kerala,11686
Lakshadweep,≤100
Madhya Pradesh,77046
Maharashtra,128759
Manipur,2613
Meghalaya,3914
Mizoram,376
Nagaland,1503
Odisha,16290
Puducherry,1697
Punjab region,113534
Rajasthan,119253
Sikkim,523
Tamil Nadu,60523
Telangana,34856
Tripura,2166
Unknown,102
Uttar Pradesh,380607
Uttarakhand,13748
West Bengal,30994
